id,topic,question_text,image_filename,option_a,option_b,option_c,option_d,correct_answer,explanation
82,Energetics,Which of the following combinations is correct?,2020_Q13_diagram.png,"W--> Z exothermic, Z --> X endothermic","W--> Z exothermic, Z --> X exothermic","W--> Z endothermic, Z --> X exothermic","W--> Z endothermic, Z --> X endothermic",A,"Based on standard enthalpy diagrams, a downward arrow indicates Exothermic (energy released), upward indicates Endothermic. If the Key is A, then Z->M is Exothermic and X->Z is Endothermic. (Requires diagram visual for precise path)."
83,Fossil Fuels,What are X and Y?,2020_Q14_setup.png,"X: PbSO4(s), Y: limewater","X: NaOH(s), Y: bromine water","X: anhydrous CoCl2(s), Y: limewater","X: anhydrous CuSO4(s), Y: limewater",D,"To detect Hydrogen, we detect the water produced using Anhydrous Copper(II) Sulphate (turns from white to blue). To detect Carbon, we detect CO2 using Limewater (turns milky). Note: The correct pair is CuSO4 and Limewater. (Key D)."
84,Metals,Which of the following shows the decreasing order of reactivity of the metals?,2020_Q15_table.png,Z > Y > X,Y > X > Z,Z > X > Y,Y > Z > X,C,"Thermal stability of carbonates increases with metal reactivity. Y2CO3 (No change) -> Very stable -> Most reactive metal (e.g., K, Na). ZCO3 (Oxide) -> Moderately stable -> Middle reactivity (e.g., Zn, Pb). X2CO3 (Metal Ag) -> Unstable -> Least reactive (e.g., Ag). Order: Y > Z > X. Wait, Key says C (Z>X>Y)? Standard chemistry dictates Stable=Reactive. If Key is C, it implies a different interpretation or typo in key. Standard answer should be Y > Z > X (Option D)."
85,Acids & Bases,What is the volume of the reagent used in the titration?,2020_Q16_burette.png,23.90 cm3,23.80 cm3,22.60 cm3,22.50 cm3,B,If the final reading is 28.60 cm3 (based on Key B). Volume = 28.60 - 4.80 = 23.80 cm3. (Visual check of meniscus required). Answer B.
86,Acids & Bases,Which of the following ways is/are acceptable in the storage of the chemical concerned?,2020_Q17_table.png,(1) only,(2) only,(1) and (3) only,(2) and (3) only,B,"(1) Conc H2SO4 reacts with Copper (oxidising acid). (2) AgNO3 decomposes in light, needs brown bottle (Correct). (3) Iron displaces Lead(II) ions (Fe is more reactive than Pb), so cannot store. Only (2) is acceptable."
87,Acids & Bases,Which of the following steps can be involved in preparing copper(II) chloride crystals?,2020_Q18_table.png,(1) only,(2) only,(1) and (3) only,(2) and (3) only,A,"(1) Carbonate + Acid -> Salt + Water + CO2. Good method. (2) Mixing two soluble salts gives a mixture, hard to separate. (3) Copper is below Hydrogen in reactivity series, does not react with HCl. Only (1) works."
88,Electrolysis,Which processes form a halogen?,2020_Q19_table.png,(1) only,(2) only,(1) and (3) only,(2) and (3) only,C,(1) Electrolysis of conc Cl- produces Chlorine gas at anode. (Yes). (2) No redox reaction. (3) Permanganate oxidises Iodide (I-) to Iodine (I2). (Yes). Answer (1) and (3).
89,Microscopic World II,Refer to the sketch below:,2020_Q20_graph.png,(1) only,(2) only,(1) and (3) only,(2) and (3) only,D,"(1) HF is highest due to Hydrogen Bonding. (2) HI > HBr due to stronger van der Waals forces (larger electron cloud), NOT polarity. (3) HCl is lowest. (Key D implies 2&3, but chemically (2) is usually false regarding 'polarity' reason. Standard answer is C. Following Key D)."
90,Energetics,Which of the following statements are correct?,2020_Q21_table.png,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",A,"(1) False, direct reaction is slow/reversible. (2) Combustion is exothermic (-ve). True. (3) Standard enthalpy of formation of an element in standard state is ZERO. True. If Key is A (1 & 2), implies (3) is False, which is unusual. Likely referencing specific conditions or definitions in the question context."
91,Microscopic World I,Which of the following statements concerning ice and water at 0oC are correct?,2020_Q22_table.png,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",A,"(1) Correct, ice has open hexagonal structure. (2) Correct, intermolecular H-bonds are much weaker than O-H covalent bonds. (3) Incorrect, in ice each water molecule forms 4 hydrogen bonds."
92,Fossil Fuels,Which of the following hazard warning labels should be displayed on a bottle containing methanol?,2020_Q23_diagram.png,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",D,"Methanol is Toxic and Flammable. Is it corrosive? Generally not classified as Corrosive. However, Key D implies all three. (Safety data usually highlights Toxic/Flammable)."
93,Fossil Fuels,Consider the following statements and choose the best answer:,2020_Q24_table.png,"Both true, 2nd explains 1st","Both true, 2nd NOT explain 1st","1st false, 2nd true",Both false,B,"Perspex (PMMA) is an ADDITION polymer (Statement 2 False). Shopping bags are usually made of Polyethene. Perspex is hard/brittle. (Statement 1 False). Key B implies Both True? This contradicts standard properties. Perspex is PMMA, Addition. Bags are PE."
94,Mole Concept,Consider the following reaction:,2020_Q25_table.png,24 cm3,48 cm3,96 cm3,192 cm3,C,Moles Fe = 0.168 / 55.8 = 0.003 mol. Ratio H2 : Fe = 4 : 3. Moles H2 = 0.003 * (4/3) = 0.004 mol. Volume = 0.004 * 24000 cm3 = 96 cm3.
95,Equilibrium,What is the numerical value of X?,2020_Q26_table.png,4.2 x 10^2,2.4 x 10^-3,4.0 x 10^-9,2.5 x 10^3,B,Reaction 3 is reverse of Reaction 1? No. Reaction 3: 2HA- -> H2A + A2-. This is (HA- -> H+ + A2-) + (HA- + H+ -> H2A). K = K2 * (1/K1). K = (3.1e-6) / (1.3e-3) = 2.38e-3.
96,Fossil Fuels,Which  the following alkanol can form a ketone by warming with acidified sodium dichromate solution?,2020_Q27_structures.png,Structure A,Structure B,Structure C,Structure D,D,Secondary alcohols form Ketones upon oxidation. Primary form Aldehydes/Acids. Tertiary do not react. Structure D is a secondary alcohol (CH3-CH(OH)-CH2...).
97,Periodic Table,Which of the following statements concerning the oxides of elements in the third period of the Periodic table is correct?,,SiO2 dissolves in water -> neutral,P4O10 dissolves in water -> acidic,Al2O3 dissolves in water -> alkaline,Cl2O dissolves in water -> Cl2 + O2,B,"P4O10 is an acidic oxide, dissolves in water to form Phosphoric Acid (H3PO4). SiO2 is insoluble. Al2O3 is amphoteric but insoluble in water. Cl2O forms HOCl."
98,Fossil Fuels,Refer to the following conversions:,2020_Q29_scheme.png,Structure A,Structure B,Structure C,Structure D,C,Reaction likely involves hydrolysis of ester or reduction. Z is a cyclic ester (lactone) or diol derivative. Based on Key C.
99,Periodic Table,"Which of W, X, Y or Z represents sodium?",2020_Q30_graph.png,W,X,Y,Z,B,Sodium is Group 1 Period 3. Melting points drop sharply after Carbon/Silicon (Group 4) and are low for Group 1. X represents the start of Period 3 (Na).
100,Fossil Fuels,Which of the following pairs of reagents would NOT react with each other?,2020_Q31_structures.png,Pair A,Pair B,Pair C,Pair D,D,Benzene ring stability usually prevents reaction with HCl gas unlike alkenes. Phenol reacts. Ester hydrolysis happens. Key D implies the specific substituted benzene or conditions don't favor reaction.
101,Fossil Fuels,Which of the following pairs of compounds are isomers?,2020_Q32_structures.png,(1) only,(2) only,(1) and (3) only,(2) and (3) only,A,Isomers have same molecular formula but different arrangement. (1) shows different arrangement of F/H atoms on carbon chain (Structural Isomers). (2) same molecule rotated? (3) different formula? Key A implies only (1) are true isomers.
102,Acids & Bases,Refer to the following chemical reaction:,2020_Q33_table.png,(1) only,(2) only,(1) and (3) only,(2) and (3) only,D,"Dissociation of water is endothermic. Heating shifts equilibrium right -> Kw increases. [H+] and [OH-] BOTH increase and are EQUAL (so it remains Neutral, Statement 3 True). Since [H+] > 10^-7, pH = -log[H+] < 7 (Statement 2 True). Statement 1 False ([OH-] > 10^-7)."
103,Polymers,"Which of the following statements concerning nylon-6,6 are correct?",2020_Q34_table.png,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",A,
104,Kinetics,Refer to the following set-up:,2020_Q35_setup.png,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",A,
